sample	A.OX	AfsA	AMP.binding	ATd	Autoind_synth	bacilysin	Bacteriocin_II	Bacteriocin_IIc	Bacteriocin_IId	BLS	botH	bt1fas	CaiA	CAS	Chal_sti_synt_C	Chal_sti_synt_N	Condensation	cyanobactin_synth	cycdipepsynth	cypI	DOIS	DUF1205	DUF692	ectoine_synt	fabH	fom1	ft1fas	Glyco_transf_28	Glycos_transf_1	Glycos_transf_2	goadsporin_like	hglD	hglE	indsynth	IucA_IucC	L_biotic_typeA	Lactococcin_972	LANC_like	Lant_dehyd_C	Lant_dehyd_N	lasso	Linocin_M18	LipV	LmbU	Lycopene_cycl	melC	MGT	micJ25	moeGT	MoeO5	mvd_mst	mvnA	NAD_binding_4	NapT7	neoL_like	nikJ	novH	PF00067	PF00106	PF02441	PF04820	PF13561	PF13575	phosphonates	phytoene_synt	phzB	PKS_AT	PKS_KS	PP.binding	prnB	pur6	salQ	spcDK_like_cou	spcDK_like_glyc	strK_like1	subtilosin	t2clf	t2fas	t2ks	t2ks2	tabtoxin	terpene_cyclase	Terpene_synth	Terpene_synth_C	TIGR03601	TIGR03602	TIGR03603	TIGR03604	TIGR03651	TIGR03678	TIGR03693	TIGR03731	TIGR03793	TIGR03795	TIGR03798	TIGR03882	TIGR03975	TIGR04363	ToyB	TunD	vlmB	YcaO
sim_meta-1	387	0	12249	1	28	0	0	0	0	0	0	0	0	0	21	43	1165	0	0	0	0	0	96	25	645	0	0	205	2024	2121	4	13	70	0	65	0	0	0	21	6	0	8	0	0	6	0	71	12	0	0	0	0	1214	6	0	0	0	1012	3520	317	523	1735	10	30	165	0	1296	1264	619	0	0	0	2	1	0	0	7	1247	13	0	0	31	0	29	0	0	0	0	4	0	0	0	0	0	3	0	27	0	0	0	0	103
sim_meta-10	329	25	15875	28	24	0	0	0	0	0	0	14	0	0	50	51	1631	0	0	0	0	0	85	15	717	0	0	205	2570	2299	4	15	48	0	101	0	0	48	65	8	0	41	0	0	27	0	159	33	1	3	0	0	1196	7	0	2	0	1219	4108	309	360	2029	19	38	233	0	1176	1451	727	14	0	0	8	1	1	0	40	1404	48	1	0	60	0	83	1	0	0	4	2	0	1	0	2	0	14	2	41	1	1	0	36	115
sim_meta-100	336	14	21312	19	25	0	0	0	0	0	0	15	0	0	37	34	6245	38	12	0	0	1	94	18	783	0	0	179	1974	2198	4	20	51	30	145	0	0	77	33	11	0	41	1	7	8	0	252	23	0	0	0	0	1297	12	0	0	0	1304	3856	283	382	1980	18	32	215	7	1565	2222	1657	0	0	0	7	1	0	0	55	1213	96	0	5	45	0	76	0	0	0	0	3	3	0	0	0	0	17	20	40	0	0	0	14	191
sim_meta-101	316	5	11972	5	33	0	0	0	0	0	0	26	0	0	62	65	1421	0	0	0	0	0	115	31	826	0	0	198	2489	2689	0	30	45	8	49	0	3	40	7	1	0	17	0	0	43	4	104	34	0	0	0	0	1247	2	0	0	0	749	3195	338	278	1980	38	13	251	4	1024	788	602	0	0	0	2	0	0	0	0	1321	4	0	0	50	0	50	0	0	0	0	0	0	0	2	0	0	14	0	0	0	2	0	0	136
sim_meta-102	228	2	13143	317	1	4	0	0	0	2	0	11	0	1	47	26	2049	1	2	0	0	0	147	27	565	0	0	149	2104	2421	0	24	69	4	113	0	1	18	12	5	0	32	0	2	15	0	94	23	0	0	0	0	1245	6	0	0	0	824	3630	340	177	1639	6	6	182	4	913	1758	754	0	0	0	4	1	0	12	24	1224	16	28	5	97	0	30	0	0	0	0	1	0	0	0	0	0	3	0	2	0	0	0	2	167
sim_meta-103	456	3	18528	15	21	0	0	0	0	5	0	4	0	10	57	35	1725	12	20	0	0	0	141	52	879	0	0	169	2234	2544	0	7	92	0	316	0	0	51	46	9	0	21	0	0	79	21	326	31	0	0	0	0	1088	5	0	0	0	1191	4007	356	494	2075	0	75	306	1	1087	1569	691	0	0	0	28	8	0	0	144	1249	196	2	4	147	0	172	0	0	0	8	0	0	5	0	0	3	1	1	68	1	0	0	0	266
sim_meta-104	436	9	11962	4	31	0	0	2	0	0	0	0	0	0	41	57	989	0	0	0	0	0	123	22	666	3	0	196	2719	2461	0	15	24	11	150	0	0	90	20	8	0	37	0	0	46	0	125	47	0	0	0	0	1282	3	0	0	0	638	3394	365	761	1807	14	1	236	8	744	576	466	0	0	0	4	3	1	0	0	1166	3	0	4	29	0	54	0	0	0	7	3	0	52	2	0	0	2	0	0	0	3	0	0	165
sim_meta-105	220	5	17586	15	9	0	0	0	0	0	0	56	0	0	29	15	4269	0	0	0	0	0	148	7	751	0	0	213	2375	2247	0	12	118	0	154	0	0	90	99	33	0	35	0	0	28	0	60	20	0	0	0	0	1300	8	0	0	0	477	2455	297	534	1444	2	42	224	0	917	968	1205	0	0	0	1	0	0	0	61	1344	59	0	4	68	0	40	0	0	0	0	0	0	0	0	4	0	0	0	39	7	4	1	0	99
sim_meta-106	240	0	11701	11	67	0	0	0	0	0	0	35	0	0	36	29	1037	72	0	0	0	0	171	3	585	0	0	206	2444	2706	0	0	94	0	21	0	0	4	17	0	0	66	0	0	20	0	40	30	0	0	0	2	1525	2	0	0	0	416	2937	370	263	1796	1	42	390	7	774	846	458	0	0	0	2	1	0	0	0	1057	7	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	11	19	5	0	1	0	0	139
sim_meta-107	459	0	15158	54	29	0	0	0	0	0	0	44	0	0	24	45	2120	0	0	4	0	0	88	43	672	3	0	173	2347	2129	2	0	3	2	95	0	1	44	0	0	0	37	1	0	13	0	141	14	0	0	0	0	1308	13	0	0	0	742	3253	201	297	2100	3	24	219	1	1104	1610	732	2	0	0	4	2	0	0	8	976	19	1	3	49	0	14	0	0	0	0	1	0	0	2	0	0	7	1	71	0	0	0	0	120
sim_meta-108	248	5	11155	33	49	0	0	0	0	0	0	0	0	0	15	36	307	0	0	6	0	0	51	10	669	0	0	158	2550	2407	0	13	144	0	59	0	0	0	26	4	0	31	0	0	8	0	88	23	0	0	0	0	1323	2	0	0	0	411	3532	318	239	2221	8	0	311	0	789	659	431	0	0	0	1	0	0	0	4	1369	6	1	2	21	0	11	0	0	0	0	5	0	0	0	0	0	2	0	11	0	3	1	0	89
sim_meta-109	279	0	11748	29	18	0	0	1	0	0	0	0	0	0	26	26	1105	0	0	0	0	0	67	32	851	0	0	188	2243	1899	0	1	3	2	77	0	1	0	0	0	0	12	0	0	9	0	65	35	0	0	1	0	1048	7	0	0	0	458	3744	303	1071	2457	0	66	298	1	763	1158	585	0	0	0	4	3	0	0	0	1153	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60
sim_meta-11	431	0	13028	181	15	21	0	0	0	0	0	11	0	0	25	36	1227	53	0	0	0	0	53	0	719	0	0	201	2646	3011	0	0	36	0	50	0	0	9	0	0	0	57	0	0	92	0	146	35	0	0	0	1	1362	2	0	0	0	877	3492	297	518	2131	8	0	261	0	727	1016	587	0	0	0	2	0	0	0	0	1227	13	15	4	56	0	0	0	0	0	0	0	0	0	0	0	0	9	18	0	0	0	1	0	117
sim_meta-110	403	3	14400	59	67	0	0	0	0	0	0	0	0	0	35	22	2411	23	0	0	0	0	118	25	668	0	0	155	2424	2380	2	8	30	0	86	0	0	34	34	10	10	60	0	0	49	0	122	9	0	0	0	0	1373	3	0	0	0	674	3278	265	340	1942	22	6	173	12	854	1265	837	4	0	0	0	2	0	0	22	1221	39	8	2	44	0	23	0	0	0	0	0	0	0	0	1	1	11	2	23	0	0	0	0	121
