sample	A.OX	AfsA	AMP.binding	ATd	Autoind_synth	Bacteriocin_IId	BLS	bt1fas	CAS	Chal_sti_synt_C	Chal_sti_synt_N	Condensation	cyanobactin_synth	cycdipepsynth	DUF1205	DUF692	ectoine_synt	fabH	fom1	Glyco_transf_28	Glycos_transf_1	Glycos_transf_2	goadsporin_like	hglD	hglE	indsynth	IucA_IucC	Lactococcin_972	LANC_like	Lant_dehyd_C	Lant_dehyd_N	Linocin_M18	LipV	Lycopene_cycl	MGT	micJ25	mvd_mst	NAD_binding_4	NapT7	novH	PF00067	PF00106	PF02441	PF04820	PF13561	PF13575	phosphonates	phytoene_synt	phzB	PKS_AT	PKS_KS	PP.binding	salQ	spcDK_like_cou	spcDK_like_glyc	strK_like1	subtilosin	t2clf	t2fas	t2ks	t2ks2	tabtoxin	terpene_cyclase	Terpene_synth_C	TIGR03603	TIGR03605	TIGR03651	TIGR03678	TIGR03731	TIGR03793	TIGR03798	TIGR03882	TIGR03975	TIGR04363	ToyB	TunD	YcaO
sim_meta-1	253	13	12330	13	34	0	0	0	0	32	50	1502	77	0	0	182	41	752	0	217	3261	2630	0	65	108	0	85	0	17	240	37	13	0	222	155	10	0	1643	4	0	1296	3442	379	711	1855	44	0	211	0	1396	1100	758	37	0	2	0	0	98	1468	91	0	0	0	0	0	0	4	0	0	0	227	0	56	0	0	1	217
sim_meta-10	260	5	11215	1	58	0	6	2	8	30	50	982	57	0	0	172	35	845	4	211	3232	2808	0	78	151	25	70	0	7	48	10	9	0	120	88	6	0	1522	0	0	702	2817	267	668	1817	3	14	254	0	810	415	563	8	0	0	0	0	21	1734	29	0	0	14	12	0	0	0	0	0	0	30	0	14	0	0	0	142
sim_meta-100	424	1	11300	0	35	0	0	0	0	23	29	1339	56	8	0	162	36	640	0	167	3150	2438	0	24	91	43	68	0	2	0	0	0	0	103	6	13	0	1427	0	0	607	3191	242	509	1822	0	18	190	0	719	400	512	0	2	0	0	0	0	1522	7	0	0	26	11	0	0	1	0	0	0	14	0	0	0	3	1	45
sim_meta-101	200	0	11139	0	7	0	0	0	0	39	24	996	93	0	0	147	33	852	6	214	3181	2654	0	110	194	0	75	0	2	0	0	0	0	99	90	7	0	1646	1	0	650	2613	338	354	1625	0	9	248	0	882	620	539	0	0	0	0	0	0	1349	3	0	0	18	0	0	0	0	0	0	0	52	0	0	0	0	0	132
sim_meta-102	611	0	16409	3	16	0	0	0	0	36	52	3078	0	0	0	247	44	939	0	162	2819	2320	0	49	62	0	43	0	129	133	26	41	0	134	149	5	0	1630	1	0	1002	3551	303	541	1910	160	22	248	10	1654	1785	1095	0	0	0	0	0	0	1286	0	0	0	28	89	0	0	1	0	0	0	12	0	28	0	2	0	107
sim_meta-103	473	9	14046	9	37	0	24	0	18	54	54	1525	0	0	0	213	23	810	0	206	3101	2428	0	38	50	62	136	0	86	191	37	43	0	115	146	28	0	1506	4	0	907	2933	276	665	1623	76	6	184	0	833	704	752	25	0	1	0	0	54	1614	68	0	5	27	14	0	0	0	0	2	0	10	2	37	8	4	2	206
sim_meta-104	330	0	11094	1	35	0	0	0	0	19	30	1288	100	0	0	215	47	727	0	216	2982	2804	0	119	189	0	161	0	10	0	0	0	0	67	13	24	0	1663	0	1	799	3633	309	615	1889	2	0	209	0	1012	608	594	0	1	0	0	0	0	1545	4	0	3	8	0	0	0	7	0	0	5	19	2	2	0	1	1	93
sim_meta-105	76	0	7710	1	2	0	0	0	0	31	38	317	0	0	0	208	26	876	0	191	2436	2564	0	78	96	0	145	0	29	0	0	16	0	91	75	16	0	1268	0	0	477	2480	382	550	1602	61	0	108	0	749	175	447	0	1	0	0	0	0	1844	0	0	0	11	0	0	0	0	0	0	0	15	9	0	0	0	0	101
sim_meta-106	312	6	11278	6	83	0	0	0	0	50	80	601	0	0	0	132	64	964	6	192	2413	2576	0	51	49	0	106	0	17	112	11	0	0	187	84	5	0	1443	2	0	728	3392	313	362	2185	0	73	317	0	843	489	455	10	1	5	0	0	46	1541	35	0	0	38	0	0	0	0	0	0	0	19	0	35	0	2	0	166
sim_meta-107	178	3	10858	0	18	0	0	5	0	42	55	750	13	0	1	139	20	934	0	191	2730	2422	0	85	83	25	44	0	32	24	3	9	0	145	76	10	0	1414	3	0	733	3177	297	656	1907	4	0	212	0	690	379	498	4	3	4	0	0	25	1639	21	0	2	11	16	16	7	0	0	2	0	1	3	2	0	0	1	126
sim_meta-108	269	9	12612	5	49	0	0	0	0	80	85	953	42	0	1	142	20	877	0	197	2857	2716	0	31	32	15	75	0	30	120	24	8	0	130	153	17	3	1397	6	0	924	3032	329	370	1617	10	0	191	0	945	807	569	22	3	4	0	0	64	1211	76	0	0	22	19	0	0	0	0	0	0	30	9	36	0	0	0	182
sim_meta-109	376	1	14869	1	144	0	0	0	0	35	62	1141	100	0	0	230	14	614	0	183	2592	2038	0	5	8	70	62	0	5	0	0	0	0	88	57	2	1	1271	0	0	1235	4635	209	775	2394	11	2	394	0	439	70	488	0	1	0	0	0	0	1865	4	0	0	32	0	0	0	0	1	0	0	64	2	0	0	0	0	45
sim_meta-11	301	0	11025	1	30	0	0	1	0	76	57	372	4	0	0	245	68	824	0	237	2960	2222	0	35	50	0	132	0	0	0	0	26	0	135	58	14	0	1518	2	0	811	3507	260	705	2038	0	0	229	0	567	197	330	0	0	1	0	0	0	1626	4	0	0	7	0	0	0	2	0	0	0	54	0	5	0	0	0	123
sim_meta-110	140	9	10524	10	17	0	0	3	0	44	55	1030	6	0	0	165	35	1040	0	219	2680	2517	2	51	59	0	58	0	43	78	18	3	0	160	100	1	0	1437	3	0	774	2967	327	566	1618	18	29	134	0	912	738	606	16	3	3	0	0	58	1534	38	0	0	12	14	0	0	0	0	0	0	60	2	16	0	1	0	168
sim_meta-111	835	3	14543	15	25	0	0	0	0	52	73	3635	0	0	0	248	10	943	0	208	2891	2599	0	57	64	22	37	0	186	189	31	37	0	183	192	20	0	1641	0	0	645	2917	275	635	1655	207	0	192	0	1420	1703	1240	10	1	0	1	0	10	1425	8	0	1	3	80	0	0	0	0	0	0	46	0	0	1	0	0	166
sim_meta-112	281	8	12692	2	52	0	0	1	0	18	24	2280	115	0	1	216	25	751	7	179	3330	2624	0	127	193	32	83	0	30	158	36	18	0	60	162	14	0	1649	4	0	1051	2729	320	527	1536	33	3	193	0	1406	1302	899	26	2	0	0	0	19	1368	21	0	3	61	12	0	0	0	0	0	0	29	3	0	2	1	0	220
sim_meta-113	309	9	14689	21	13	0	0	0	0	31	42	2768	27	0	0	257	45	1023	0	203	2713	2293	0	90	175	69	74	0	155	333	76	21	0	204	297	6	0	1446	4	0	1258	3199	314	695	1614	108	19	173	6	1999	2854	1358	17	1	2	0	3	30	1448	33	0	1	8	65	10	1	0	0	0	0	37	0	5	2	2	0	202
sim_meta-114	178	0	8828	0	12	0	0	0	0	44	58	367	8	0	0	122	30	776	4	229	3414	2606	0	31	42	0	100	0	9	9	1	0	0	254	94	7	0	1450	2	0	593	2324	402	507	1637	5	16	267	0	794	273	357	0	1	0	0	0	19	1302	26	0	0	13	11	0	0	2	0	0	0	68	1	0	0	0	3	82
sim_meta-115	254	3	13053	19	39	0	0	2	0	27	29	1218	29	0	0	146	30	863	0	207	2772	2397	0	49	102	0	84	0	30	91	12	20	0	82	112	25	0	1352	2	0	960	2898	296	671	1795	0	11	302	0	960	1212	638	11	4	0	0	1	25	1308	21	0	5	71	11	5	3	0	0	0	0	13	7	30	1	3	0	137
sim_meta-116	218	0	10377	2	19	0	0	1	0	22	40	1519	169	0	1	162	14	723	0	182	3018	2837	0	72	138	14	28	0	0	0	0	0	0	78	80	15	0	1489	0	0	860	2592	293	714	1351	0	4	251	0	900	760	649	1	0	0	0	0	0	1342	7	0	3	34	0	0	0	0	0	0	1	38	23	0	0	1	0	125
sim_meta-117	362	1	13002	9	54	0	0	27	0	35	63	570	16	0	0	227	31	783	2	187	2723	2287	0	70	95	13	107	0	30	63	13	15	0	96	127	5	0	1402	7	0	904	3642	322	639	2079	9	0	139	0	862	511	448	5	2	0	0	0	5	1472	12	2	1	44	5	0	0	1	0	0	8	15	0	0	0	0	0	137
sim_meta-118	277	0	8794	1	2	0	0	0	0	42	61	1085	75	0	0	88	12	729	2	190	3767	3258	0	48	62	0	86	0	5	0	0	33	0	128	25	14	0	1500	0	0	596	3171	279	316	2126	0	0	292	0	788	422	481	0	11	0	0	4	0	1596	9	0	0	4	0	0	0	0	0	0	0	9	0	0	0	0	0	17
sim_meta-119	223	0	12427	16	1	0	0	7	0	55	35	1267	17	0	0	206	88	717	0	221	2722	2385	0	0	0	0	97	0	21	21	7	26	0	90	25	6	0	1309	8	0	619	3137	296	929	1903	0	0	184	0	603	768	586	0	1	0	0	0	0	1795	3	0	0	12	0	0	0	0	0	0	0	20	6	0	0	0	1	65
sim_meta-12	294	0	14509	0	29	0	0	76	0	0	11	694	17	0	0	264	50	938	0	212	2255	2064	0	76	85	0	176	0	19	0	0	0	0	166	40	12	0	1337	7	0	922	4292	298	746	2447	0	24	219	0	663	135	421	0	1	1	0	0	0	1696	1	0	1	0	0	0	0	3	0	0	0	5	0	0	0	3	2	174
sim_meta-120	273	1	12089	1	41	0	0	0	0	23	32	862	47	2	0	152	25	860	8	196	2652	2664	0	23	30	0	78	2	27	14	3	40	0	66	66	4	0	1312	6	0	627	3025	240	448	1935	2	23	256	0	615	307	422	0	0	0	0	0	0	1359	2	0	1	39	0	6	0	0	0	1	0	4	15	0	0	1	0	154
sim_meta-121	467	8	15068	17	29	0	0	2	0	45	78	2269	11	0	0	215	37	915	0	208	2566	2406	0	55	55	6	54	1	77	230	54	29	0	150	165	4	0	1430	0	0	842	3785	297	389	2030	105	6	142	0	1286	1475	959	23	1	0	0	0	59	1374	55	0	0	16	35	28	7	1	2	0	0	5	1	47	0	2	0	211
sim_meta-122	195	0	10012	3	32	0	0	0	0	53	67	654	4	0	0	176	43	942	0	214	2715	2612	0	98	132	0	45	0	17	12	3	15	0	177	53	23	0	1466	0	0	533	2767	356	804	1896	0	0	221	0	689	422	516	0	1	1	0	0	0	1712	0	0	0	3	5	0	0	0	0	1	0	35	0	0	0	4	0	125
sim_meta-123	246	0	8926	3	41	0	0	0	0	52	69	780	46	0	0	135	10	806	0	210	2994	2797	0	70	104	0	22	0	14	0	0	3	0	112	33	1	0	1649	5	0	588	2601	256	446	1495	0	0	201	0	779	463	495	0	3	0	0	4	0	1536	12	0	0	3	0	12	4	0	0	0	0	33	2	0	0	0	1	82
sim_meta-124	91	0	9858	0	27	0	0	0	0	33	49	531	0	0	0	38	27	955	0	230	4537	3662	0	7	110	0	30	0	10	0	0	19	0	80	39	3	0	1635	0	0	509	2677	263	200	1607	0	81	202	0	590	192	410	0	0	2	0	9	0	1752	12	0	0	44	53	0	0	0	0	0	0	2	0	0	0	1	0	82
sim_meta-125	459	4	12960	16	26	0	0	17	0	46	38	1160	7	1	0	240	26	893	0	195	2960	2648	0	42	104	47	75	0	49	162	28	21	0	194	222	9	0	1471	9	1	966	3312	282	857	1914	83	0	302	0	1128	1201	718	15	0	3	0	0	9	1451	36	0	0	19	40	0	0	0	0	0	0	27	1	0	1	1	1	132
sim_meta-126	111	0	9869	0	16	0	0	25	0	31	47	930	21	0	0	139	26	845	1	217	2905	2533	0	25	36	28	64	0	12	0	0	7	0	135	97	17	2	1569	2	0	674	2607	316	540	1646	5	19	248	0	600	131	435	0	1	4	0	3	0	1205	17	0	1	36	0	20	10	0	1	0	0	66	4	2	0	1	0	108
sim_meta-127	202	11	10250	2	37	0	0	0	0	57	83	533	0	0	1	216	23	895	6	238	3302	2870	0	31	25	43	67	0	31	202	23	3	0	191	222	22	0	1859	2	0	985	3050	301	584	1885	45	0	374	0	960	702	489	14	2	0	0	0	24	1432	25	0	3	23	19	0	0	0	0	0	0	70	0	0	3	0	0	87
sim_meta-128	252	9	14359	63	31	0	23	20	13	28	54	1281	0	0	1	109	39	1023	2	231	2642	2449	0	75	77	54	80	1	83	176	29	0	5	184	166	11	0	1533	8	0	1327	3451	305	610	1909	15	42	227	0	738	605	578	25	0	5	0	0	51	1375	44	15	4	55	0	12	4	0	0	0	6	8	2	70	4	2	1	160
