sample	A.OX	AfsA	AMP.binding	ATd	Autoind_synth	Bacteriocin_II	Bacteriocin_IIc	Bacteriocin_IId	botH	bt1fas	CaiA	Chal_sti_synt_C	Chal_sti_synt_N	Condensation	cyanobactin_synth	cycdipepsynth	cypI	DOIS	DUF1205	DUF692	ectoine_synt	fabH	fom1	Glyco_transf_28	Glycos_transf_1	Glycos_transf_2	goadsporin_like	hglD	hglE	indsynth	IucA_IucC	Lactococcin	LANC_like	Lant_dehyd_C	Lant_dehyd_N	lasso	Linocin_M18	LipV	LmbU	Lycopene_cycl	melC	MGT	micJ25	mvd_mst	mvnA	NAD_binding_4	NapT7	novH	PF00067	PF00106	PF02441	PF04820	PF13561	PF13575	phosphonates	phytoene_synt	phzB	PKS_AT	PKS_KS	PP.binding	prnB	salQ	spcDK_like_cou	spcDK_like_glyc	strepbact	strK_like1	strK_like2	t2clf	t2fas	t2ks	t2ks2	tabtoxin	terpene_cyclase	Terpene_synth_C	thiostrepton	TIGR03651	TIGR03678	TIGR03731	TIGR03793	TIGR03795	TIGR03798	TIGR03882	TIGR03975	TIGR04363	ToyB	TunD	YcaO
sim_meta-1	531	5	15622	0	13	1	0	0	0	86	0	34	38	2417	0	0	0	0	0	114	10	900	0	260	2232	2748	0	8	38	15	77	5	11	5	1	0	27	0	0	111	0	109	21	0	4	1410	5	0	994	3948	283	665	2119	2	8	243	0	590	110	668	0	11	6	0	0	0	0	0	1200	13	0	0	20	6	0	0	0	0	3	0	2	14	0	0	0	1	220
sim_meta-10	180	0	11472	0	34	0	0	0	0	0	0	13	28	994	0	0	0	0	1	123	19	726	7	194	2201	2147	0	12	23	0	2	0	9	5	2	0	27	0	0	13	0	121	13	0	0	1428	2	0	315	3240	275	431	1897	0	11	153	0	547	218	406	0	0	7	3	0	0	0	0	1326	6	0	0	10	2	0	2	0	0	0	0	8	0	2	0	1	0	148
sim_meta-100	286	6	14276	0	26	0	0	0	0	35	0	25	31	1554	0	0	0	0	0	76	9	657	0	191	2842	2650	0	0	27	0	78	0	1	3	0	0	39	0	0	74	0	95	32	0	0	1318	0	0	494	3334	281	356	2114	5	26	316	0	593	209	528	0	0	6	2	0	0	0	0	1258	8	0	0	79	17	0	0	0	0	0	0	9	1	5	0	0	1	69
sim_meta-101	384	0	16280	177	58	0	0	0	4	7	0	37	30	1554	32	3	1	0	0	161	18	735	17	179	2235	2313	0	40	85	3	186	0	58	12	13	0	22	1	10	16	0	191	3	1	0	1351	6	0	1461	3718	296	359	2132	14	46	268	10	1352	2202	838	0	0	1	2	0	2	0	29	1204	40	27	4	97	38	0	0	0	0	0	7	0	7	12	0	0	0	223
sim_meta-102	318	9	14731	35	32	0	0	0	0	28	0	23	27	2174	11	6	0	0	0	122	49	882	14	192	1920	1997	12	14	60	29	59	0	25	2	0	0	55	1	2	57	0	208	30	0	0	1375	11	0	1234	3838	360	343	1959	6	3	229	0	1360	1414	804	0	0	0	2	0	0	0	31	1460	62	7	1	36	53	0	0	0	0	0	0	0	0	0	0	0	13	199
sim_meta-103	306	0	14402	39	38	0	0	0	0	3	0	19	18	1492	0	0	0	0	0	198	22	747	0	191	2134	2108	0	48	61	1	77	0	27	16	4	0	30	0	0	57	0	115	13	13	0	1241	0	0	1154	3575	307	729	2128	23	26	202	13	1137	1531	768	0	0	1	0	0	0	0	0	1209	3	0	2	98	53	0	2	0	0	0	0	1	17	1	0	0	0	200
sim_meta-104	310	2	13728	1	63	0	0	0	0	0	0	25	23	1128	0	0	0	0	0	126	9	703	3	192	1851	2070	0	36	48	0	97	0	28	0	0	0	23	0	0	15	0	163	23	0	0	1407	0	0	388	3474	285	405	2209	16	58	233	0	577	274	467	16	0	3	2	0	0	0	0	1457	7	0	0	37	6	0	8	0	0	0	6	0	0	0	0	0	0	142
sim_meta-105	363	7	14339	2	1	0	2	0	0	26	0	19	15	1052	45	0	0	1	1	107	17	718	23	171	2370	2558	0	49	87	40	20	0	21	0	0	0	17	0	0	42	0	82	8	0	0	1388	12	0	1156	3212	203	459	1478	0	7	162	0	530	285	449	0	9	0	0	0	0	0	0	1010	5	0	0	68	6	0	1	0	0	0	0	0	10	0	0	0	0	32
sim_meta-106	373	0	12879	0	40	0	0	0	0	0	0	37	25	1177	0	0	0	0	0	125	18	797	0	199	2323	2364	0	8	26	0	78	0	26	0	0	0	59	0	3	10	0	165	31	0	0	1393	5	0	1727	3529	313	665	1978	2	10	121	6	604	382	490	0	0	0	2	0	0	0	45	1327	36	0	2	14	88	0	0	0	0	0	0	3	0	21	0	0	1	184
sim_meta-107	97	2	10219	2	30	0	0	0	0	2	0	21	20	645	0	0	0	0	0	112	8	767	2	217	2528	2835	0	15	58	0	86	5	56	50	6	0	22	0	0	33	0	115	17	0	2	1451	0	0	420	2555	391	362	1706	3	13	200	0	769	322	423	11	0	3	0	0	0	0	0	1627	6	0	0	45	5	0	3	0	2	0	0	3	5	0	0	0	0	167
