sample	amglyccycl	arylpolyene	bacteriocin	blactam	bottromycin	butyrolactone	cyanobactin	ectoine	head_to_tail	hserlactone	indole	ladderane	lantipeptide	lassopeptide	linaridin	melanin	microcin	microviridin	nrps	nucleoside	oligosaccharide	other	otherks	phenazine	phosphoglycolipid	phosphonate	proteusin	PUFA	resorcinol	sactipeptide	siderophore	t1pks	t2pks	t3pks	terpene	thiopeptide	transatpks
sim_meta-1	0	42.123148	97.41375	0	0	0	0	15.89504	0	16.58258	0	0	55.48084	21.511007	0	0	0	2.72416	181.541912	0	0	57.906801	18.21650244	6.11886	0	8.09698	1.85198	0.00602244	11.82559	0	20.49465	167.851096	1.41034	32.482203	89.19459616	0	0
sim_meta-10	0	22.871628	91.9635008	0	0	38.79179	3.26851	17.15039	0	37.9637786	2.94017	12.82936	55.162282	39.382906	0	0	0	0	218.54383028	0.770621	0	78.227843	14.388033	0	1.49001	15.232072	0	4.189521	4.612318	2.1387	22.934323	96.72639428	12.75143	34.801953	111.7644898	0	27.20389
sim_meta-100	0	51.31510689	174.79415	0	0	14.096235	2.82781	27.39158	0	10.4690889	16.94846	18.07904	98.23888	14.96751	0	3.34041	0	17.12333	379.4881505	5.63543	21.27569	65.492121	25.650525	0	0	39.63611	0	5.226475	8.79355	0	80.63103	181.45893	27.41498	47.12667389	135.9263478	6.74991	43.58015
sim_meta-101	0	44.891796	80.04363995	0	0	5.40944	0	12.1314	1.55427	31.597413	1.08962	1.1654	32.89636	20.58207	0	2.07697	0	0	131.861747	5.99581	14.0901	63.4740108	23.4450389	3.63733	0	5.07537	0	0	6.254166	0	10.80135	84.1820179	0	54.357434	128.2688141	4.31802	4.39627
sim_meta-102	0	10.772023	101.029885	1.03959	0	5.630615	1.13224	22.120326	0	3.496961	1.796913	0.444918	16.91790904	10.763287	3.34595	3.50476	0	1.950615	164.98982292	0	1.84708	38.0384603	32.5399057	2.2269691	0	2.843165	0	0	0	0.524921	34.553783	70.4750363	5.397592	41.120337	111.02760486	0.956355	45.27633
sim_meta-103	0	41.56169	107.653291	1.76574	0	37.92254	1.13046	82.7581	0	15.684745	0	13.124	74.41561	1.61529	0	8.05047	0	0	176.953124	0	0	25.3935746	22.58806	0	0	14.785485	0	0	9.95742	0	73.9	93.30477	44.08994	33.78701	191.3763683	30.99214	4.16296
sim_meta-104	0	32.44043	77.968857	0	0	7.36659	0	25.096234	0	21.8886903	1.2484	0	18.274009	6.496997	0.719647	1.7731	0	0	108.66551	5.12292	12.5941	32.740477	12.327885	0	0	1.06505	0	0	2.6885	6.12916	29.783697	56.964023	0	46.22668	114.57545335	2.49298	3.03095
sim_meta-105	0	51.52762	172.55135	0	0	10.23176	0	5.29091	0	14.32283	7.57142	0	74.70525	14.28842	0	0	0	0	212.24713	11.7381	0	58.28779	28.45082	0	0	40.93053	0	0	6.06397	0	72.48118	110.32088	18.70067	19.33024	123.71502	10.46905	28.65418
sim_meta-106	0	39.55173	54.99135	0	0	0	17.6058	2.02079	0	52.59213	0	0	2.328381	0	0	0	0	20.10361	76.7394075	0	0	30.10702	20.0874592	0	0	12.4033	0	0.0118802	0	0	3.41527	72.3483732	0	19.3322303	182.25264175	5.62663	6.75756
sim_meta-107	0	27.5943128	93.345976	0	0	2.51667	0	28.77036765	0	22.64410569	2.94323	3.14734	47.6196	20.053265	0	0	9.301656	0	181.926729	3.45796	0	66.330518	18.99098	1.82247	0	19.22825	3.55293	0	7.9160278	0	35.310819	127.364435	5.94024	30.887186	112.601397	3.2116	10.361746
sim_meta-108	0	36.72964	54.32917	0	0	7.28479	0	15.72116	0	29.35593	0	14.79569	11.336119	21.0264	2.91993	0	0	2.74485	60.704174	0	0	30.408476	28.84386	0	0	0	0	0	2.62369	0	24.73971	30.86534	4.12702	18.18157	121.22089	0	8.18702
sim_meta-109	0	28.96822	75.00723043	0	0	6.8308	0	16.274908	0	10.022955	1.10967	0	0.0418778	11.706989	0	0	0	2.031147	95.732957	0	2.05536	46.190652	0.532497	1.03509	0	13.3262	0	0	46.10059	0	20.59948	36.650217	0	20.68652	90.47702874	0	40.67718
sim_meta-11	0	19.25594968	58.46122	0	0	0	11.0674	0	0	14.30504	0	0	8.11793	8.244239	0	0	0	11.70791	76.776499	0	0	46.54077	16.2273	0	0	0	0	0	3.26906	0	7.38846	47.4693	0	19.08303	150.31425797	0	20.53234
sim_meta-110	0	24.643553	102.371739	0	0	2.0253	1.80329	13.994533	0	44.981814	0	0	20.312351	21.806724	0	0	0	0	194.107969	0	0	54.596761	21.507375	5.07436	0	4.476045	2.64985	0	0	0	25.48567	107.012377	4.693188	25.819176	101.312067	3.0294	18.51019
sim_meta-111	0	32.22507861	72.3842169	0	0	0.545546	3.07729	8.78999651	0	17.868109	2.04638	0	34.855634	7.892689	0	0	0	14.44219	134.304068	0	0	48.697636	26.766398	0	0	22.1881	0	8.19346	9.220478	0	23.255967	73.0174059	0	27.902949	122.2765536	1.228171	13.47161
sim_meta-112	0	22.73918163	55.97701018	1.95861	0	17.5584	0.961829	0	0	20.19539	0	5.60916	65.81697	15.19872	0	0	0	0	88.7389897	14.7043	1.90535	37.5494	34.186967	0	0	0	0	0	10.29601	0	27.18225	71.4660993	29.0064	25.53848	106.6308886	7.66058	1.77713
sim_meta-113	0	10.510427	85.93951196	1.7013	0	0	0	11.802248	1.06237	19.055503	2.66921	0	20.63123	13.820197	0	0	0	0	103.715823	0	0	39.296964	7.22541329	0	1.22802	5.96049	0	0	4.50289	0	6.848286	54.01977499	1.70399	29.9688033	95.04265406	3.27799	14.83001
sim_meta-114	0	31.57669829	117.883442	0	2.88556	6.195004	0	8.500936	0.871232	24.4113862	4.66405	0.0866012	80.288277	8.9838449	0	0	0	7.4024	239.585432	0	15.4664	59.457391	13.978085	5.19486	0	3.74812	1.37732	0	12.467921	0	16.651368	194.925534	11.26419	29.827281	118.44676186	0.871232	11.88354
sim_meta-115	0	26.800936	77.826044	0	0	3.26728	0	9.366326	0	33.39162	0	4.20646	39.219882	13.112504	4.02023	0	0	0	132.730937	0	0	46.801664	21.117853	0.933693	0	2.472475	0	0.919896	8.26859	0	25.039782	85.276791	2.42367	33.57704	120.6730227	2.5032	16.16399
sim_meta-116	3.43445	13.790831	108.56150492	0	0	15.7612	0	3.0420581	0	17.544812	2.488582	1.85984	44.688393	6.761013	1.40804	0	0	16.870596	171.2013306	0	1.47529	100.776155	5.850749	0.522434	0	0	12.2283	0.819343	2.788653	0	26.937377	140.88603	1.66719	39.45717418	125.598605	1.58073	0.0412476
sim_meta-117	0	25.7410301	78.437220023	0.608374	0	4.60661457	0	15.74856	0	32.652219	2.02986	9.76732	46.167844	11.257441	0	0	6.97064	0	129.92676327	0	0	63.67781	16.3446622	0	0	17.42453	0	8.0948582	6.898552	0	37.014806	96.2901983	1.337979	35.42537	109.34059405	7.529007	21.693761
sim_meta-118	0	10.3455653	119.687108	0	0	56.01395	0	1.02082	0	23.4700577	8.96449	15.05794	110.98772	30.68047	0	0	0	10.0388	295.64451	0	33.6571	81.45193	12.59696	10.39826	0	7.08721	0	0	0	0	15.27078	230.210179	21.0055	31.77309	149.733555	0	14.676
sim_meta-119	0	36.79923	115.38130228	0	0	1.26798	0	19.60551	0	13.97991	7.59282	34.7968	25.17899	0	0	0	0	0	233.34741	0	0	21.735964	9.16715	0	0	23.78655	0	0	1.16544	0	39.333976	137.68234	0	52.46084	105.964242	5.95641	48.08297
sim_meta-12	0	29.87534	64.80283	3.85148	0	0	0	16.23111007	0	22.71302	0	0	31.7702184	15.09652	0	0	0	0	70.71226114	0	3.92582	7.11449	8.350411	0	0	19.05015	0	0	0	1.58209	18.14419	36.1804213	12.52918	33.88583	65.60473703	4.61783	0
sim_meta-120	1.47161	23.601301	105.51773868	3.99566	0	16.828286	2.22676	13.629162	0	6.08176	5.98537	14.23639	61.974496	1.27639	0	0	0	10.96645	272.283572	3.60829	4.89162	92.615528	14.79311	4.60148	0	1.335893	9.05461	0	2.176973	0	20.64202	228.572979	12.2835	38.050954	121.72391966	0.969717	0
sim_meta-121	0	48.997364	107.16688826	0	0	17.82763	0	34.3327547	0	18.17114308	0.993838	12.0647	39.086209	11.65134	0	3.77395	0	0	153.70947	0	0	43.00841	11.87774111	1.88105	0	7.25968	0	0.00534611	9.33684	0	39.15231	101.5880047	18.9966	28.95102134	157.74699171	13.5383	23.42127
sim_meta-122	0	18.8155705	64.24727014	3.52895	0	1.53869	6.96942	12.4771235	0	30.822897	2.659975	5.053316	24.332517	15.212308	1.91711	5.71563	0	15.87271	236.2037118	0	11.1025	37.710499	25.774065	1.70176	0	4.851425	0	5.753051	2.581457	1.296	21.42592	131.343103	2.76802	42.792794	128.599462	1.57641	17.2413
sim_meta-123	0	25.499079	97.8931182	0.806222	0	17.771475	0	0	0	23.660774	11.948348	0	80.279933	13.637863	0	0	0	6.35938	140.982005	0	0	70.0776258	21.791961	0	0	3.337324	0	0	25.512092	0	18.027772	92.910127	26.302276	24.677306	141.448856	1.01171	17.8764
