sample	amglyccycl	arylpolyene	bacteriocin	butyrolactone	cyanobactin	ectoine	furan	fused	hserlactone	indole	ladderane	lantipeptide	lassopeptide	microcin	microviridin	nrps	nucleoside	oligosaccharide	other	otherks	phenazine	phosphonate	proteusin	PUFA	resorcinol	sactipeptide	siderophore	t1pks	t2pks	t3pks	terpene	thiopeptide	transatpks
sim_meta-1	0	52.51547	60.7918791	11.79155	22.1078	53.2121439	0	0	28.430551	0	0	4.10441	9.14078	0	9.84574	113.0839489	0	0	23.325149	53.122005	0	0	0	1.38211	3.23759	0	27.784189	97.6977129	0	23.529377	92.4850111	0	0
sim_meta-10	1.6839742	9.0494067	109.634855	6.6122288	3.22802	15.3948459	0	0	41.074026	7.75932	0	59.2664143	4.919554	0	0.255108	116.8744907	0	0	43.097778	33.054291	0	0	0	14.524751	2.44141	0	19.2902824	80.2879597	13.563172	28.3599921	97.6413553	6.99883	9.74342
sim_meta-100	6.37521	56.013245	110.7540384	2.356623	0	31.6131142	0	0	9.598379	2.87155	0	16.49316	8.254951	0	0	38.7442634	0	0	32.969429	10.4732353	0	0	0	1.8854726	3.340268	0	11.9533828	45.0859644	3.61899	24.579779	88.8632564	1.66049	6.755716
sim_meta-101	0	43.3303288	121.4765795	0	0.181382	38.1104168	0	0	17.32907827	0	0	21.9216	7.44057	0	0	95.164211	0	0	59.707811	3.7403375	25.6127	7.304058	0	3.7403375	10.80062	0	11.4798653	74.9760255	0	24.085927	113.3118979	0	0
sim_meta-102	0	22.149205	237.08187097	48.197534	0.0557408	44.1087432	0	0	18.9010432	0	0.0773277	4.6111389	9.59586	0	0	56.93080625	0	0	43.193142	26.991461	0	16.696708	0	24.058681	11.7317182	0	32.9986837	36.89433865	0	28.02082	145.69602253	0	0.0504165
sim_meta-103	6.682967	31.6188272	138.72125588	24.16877	2.88697	6.062976	0	6.01825	7.274299	41.31861	6.31017	110.11531	1.569875	0	0	264.245094	0	31.6594	102.096382	66.694343	0	4.73407	0	14.903793	0.22859	0	56.608303	255.796082	38.96634	26.346607	113.6865828	18.06479	0.253877
sim_meta-104	11.6820227	56.0661917	150.0384808	6.2257721	0.2829861	5.936907	0	4.04635	9.1787451	3.73261	0	21.97384	0.747976	4.25209	0.0336638	66.9101775	0	0	25.332509	11.9603719	0	7.10135	0	1.030883	2.8793	0	33.1058677	50.0891564	13.653532	37.9793923	109.1089917	4.38979	6.676691
sim_meta-105	0	25.035537	380.11731	0.942659	0	8.334515	0	0	36.282253	0	0.839822	11.288376	3.51548	0	0	33.2416922	0.238258	0	4.081443	1.048771	0	0	0	0.365413	8.368669	0	14.706605	29.056321	0.216699	37.239264	221.811256	0	0
sim_meta-106	0	30.7533642	226.094721	2.52494	0	9.616786	0	0	50.468103	0	0	8.80062	0	0	0	50.8720791	0	0	24.6526418	29.91835	0	0	0	26.05043	0	0	29.710375	12.185263	0	12.196358	135.6238151	0	0
sim_meta-107	16.52861	37.38162	125.63344344	14.94406	0.225486	34.4732707	0	5.30219	7.218979	22.32902	5.75179	63.3985817	0	0	0	159.245262	0	26.1681	64.9301971	61.0608339	0	0	0	5.270719	4.59216	0	42.3463486	166.8236422	27.748002	18.64538083	113.43787477	9.4425761	0.1772435
sim_meta-108	0.0920216	46.0612217	193.3838549	3.808286	5.6239935	36.2337152	1.34462	1.66378	48.859969	0	0.0749127	35.670314	3.853809	0	0.0509794	49.0796349	0.0285261	0	25.8920724	5.9482291	0	5.40748	0.160644	0.2100312	18.728698	0	6.031976	33.6598373	2.6068294	30.022181	159.1692705	1.53036	0
sim_meta-109	0	7.190212	57.60113	4.246413	0	5.30505	0	0	50.38239	0	0	5.10128	0	0	0	18.021646	0	0	1.20256	0.159894	0	2.8393	0	0.159894	0	0	22.852621	12.284934	0	20.929304	36.457272	0	0
sim_meta-11	6.90177	52.750369	91.5393299	1.04953	2.514784	25.5328623	0	0	12.1228704	0	0.372224	1.8438172	7.090966	0	0.034341	63.4008721	0	0	32.79381	37.3514557	0	1.120497	0	20.25901	13.725758	0	36.2450116	30.8571612	0.298941	1.5520606	120.1152079	0	10.0763
sim_meta-110	0	25.7693547	171.0019492	6.10498	8.98976	41.2486742	0	0	25.043193	0	2.38185	10.44186	7.408853	1.84615	0	52.120138	0	0	27.7527496	17.7559495	0	11.150141	0	9.8895125	12.9917359	0	47.4053699	19.4501585	0	5.5869959	142.9273976	0	0.0508336
sim_meta-111	0	9.9014996	302.3414643	4.0297226	0	14.6290578	0	0	12.796158	0	0	12.50237762	1.568774	0	0.0096943	33.0234691	0	0	17.93464777	8.9951439	0	0	0	4.9200839	0.2490532	0	4.8474872	16.8805139	3.08454	47.6346699	182.5532438	0.938075	1.55158
sim_meta-112	0	8.9662976	212.2886211	0	2.6415	32.96168	0	0	23.09097	0	0	0	6.77311	0	0	23.888655	0	0	14.467407	3.17267	0	2.39986	0	3.17267	10.0824258	6.3687	11.830887	6.928149	0	16.307468	177.7429113	0	0
sim_meta-113	2.115051	57.3117911	165.49953328	14.78277	3.3468173	49.9337997	0	5.07062	18.4528626	13.5983002	0	103.158591	9.712101	0	0.0522981	191.0564524	0	0	38.6100464	15.437703	0	0.0949511	0	8.7522398	8.2639872	0	37.7353503	144.4658766	43.7066	36.4128074	185.7158526	16.29228	13.83835
sim_meta-114	0	16.9595268	120.5446418	34.4418	0	27.5548606	0	0	24.7582102	0	0	2.164217	13.65522	0	0.160978	28.7083916	0	0	30.4490241	37.0562402	0	0	0	13.73573	0.264824	0	1.5505406	47.7495505	0.627408	38.9704973	87.13325536	0	0.0634891
sim_meta-115	2.16497	63.50924102	97.3532045	4.24647	1.856557	27.2768885	0.615967	0.855654	24.5821255	0	0.0622013	4.3255855	4.58988	0	2.583386	57.9671286	0.077715	0	13.527721	25.6892412	0	3.214692	0	19.553172	4.92803722	3.60809	33.8015248	35.4720005	1.1451676	31.1643764	94.1274222	0.6151101	0.12031
sim_meta-116	0.13518	36.1285817	133.6946717	24.56434	1.59312195	15.5657396	0	0	12.8238389	5.34332	1.61218	34.90171	11.543337	2.01218	3.65276	72.7009234	0	0	53.04809792	14.7029259	15.4034	1.928507	0	8.5898686	0.2920837	0	7.5442916	62.5057619	3.869412	9.4943229	111.7369916	1.40884	3.0577514
sim_meta-117	3.12355	11.9197059	86.63378223	1.6632194	12.69188	16.9040803	0	1.54371	14.4350474	3.48571	1.8374	14.51265	7.98695811	0	3.41322	52.1673322	0	7.14102	19.3515996	47.4543184	0	2.359238	0	10.6790106	4.1693266	0	23.37462173	72.6838438	1.62332	9.3408605	85.5952409	1.04686	0
sim_meta-118	0	40.4373417	64.6142821	0	0	15.7515996	0	0	19.938181	0	0	0	0	0	0	17.123079	0	0	7.323661	23.16673	0	7.466835	0	23.16673	9.232819	0	55.9414	2.619322	0	0	87.79846	0	0.979031
