sample	amglyccycl	arylpolyene	bacteriocin	blactam	butyrolactone	cyanobactin	ectoine	fused	hserlactone	indole	ladderane	lantipeptide	lassopeptide	microviridin	nrps	oligosaccharide	other	otherks	phenazine	phosphonate	proteusin	PUFA	resorcinol	sactipeptide	siderophore	t1pks	t2pks	t3pks	terpene	thiopeptide	transatpks
sim_meta-1	3.07137	44.882939	306.355764	0	6.54112	13.2877	18.830076	6.49928	23.794427	0	0.15531	32.13584	15.7803	5.71977	106.416717	0	24.417517	41.58859	0	0	0	3.61384	11.93142	0	24.108918	108.629688	16.81718	28.62544	105.4627129	3.99393	10.6726
sim_meta-10	0.364359	40.145525	116.018921	1.89324	1.52128	18.76933	44.116823	0	34.780865	1.45793	0	7.69442	8.960322	3.50798	64.885982	0	24.39989	34.18241	0	7.75685	0	14.67442	4.955219	0	16.55721	54.653998	3.33023	29.495228	140.214666	4.55959	2.80386
sim_meta-100	0	35.932208	94.880233	0	5.05126	12.41588	42.38497	0	32.88184	2.61164	0	0	5.169467	4.51689	66.999781	0	23.88597	25.91272	0	9.50131	0	0	6.04188	0	8.94076	47.270921	0	15.5539773	80.178042	0	0
sim_meta-101	0	51.115977	112.674972	0	0	16.72256	13.919821	0	15.206756	0	0	3.27575	0.526725	7.72103	53.697535	0	25.806913	57.388702	0	5.34157	0	13.536202	11.42168	0	32.432382	67.184289	0	32.542267	98.29397432	0	0
sim_meta-102	0	31.371182	145.3317238	0	0.847552	1.35171	40.976122	0	12.239126	0	0	69.663045	7.61808	0	166.572187	0	103.8462149	10.07996	20.2612	6.03181	0	10.07996	3.052809	0	10.295742	143.448133	0.260571	37.5810275	118.7842747	0	0
sim_meta-103	2.9128	38.184528	153.355369	4.48594	4.76215	4.10954	28.075844	0	30.468112	4.82596	0	35.28292	14.52804	0	119.797516	0	55.723264	16.36313	0	9.12811	0	8.70041	16.68377	0	38.57772	88.490435	10.27654	29.11185	75.902691	3.55616	8.69037
sim_meta-104	0	43.727138	118.588128	0	0	23.33798	27.676356	0	50.884356	0	0	9.252945	3.03393	7.47059	68.736179	0	26.57802	60.642667	0	0	0.664554	7.358187	0	0	28.602552	76.03744	0	15.363567	63.612036	0	0
sim_meta-105	0	43.031672	123.904081	0	0	0	34.93446	0	3.658725	0	0	16.62654	0	0	23.86584	0	5.22597	16.116032	0	0	0	16.116032	3.35781	0	29.065526	8.005009	0	44.382652	82.171177	0	1.07284
sim_meta-106	3.05934	19.7893	72.478673	0	3.48434	0	42.301021	3.80091	95.153267	0	0	5.67899	7.12798	0	61.97264	0	11.284571	12.32297	0	35.07383	0	8.45605	7.75695	0	53.0056	39.016912	8.78586	31.423569	166.736439	2.26673	5.78637
sim_meta-107	2.09871	30.607227	86.516276	0	0.829604	4.273985	20.535119	0	12.815239	2.55898	0	16.478594	0	0	39.7327764	0	24.727098	16.21686	0	0	0	11.30506	2.29409	0	10.322953	36.286005	5.9434	37.628778	106.9820552	1.97611	0.0587494
sim_meta-108	6.35361	26.358809	134.065726	0	3.81118	1.943337	17.714959	4.12217	45.41806	2.07786	1.428853	17.759095	6.33944	1.98889	76.161948	0	29.07387	6.944309	0	0	0	3.668586	5.65839	0	20.228857	51.525497	16.75313	40.045597	127.543039	5.38107	6.37511
sim_meta-109	0	5.400673	164.72478	0	3.44531	32.14446	13.126828	0	64.65584	6.12201	1.64132	2.607794	8.14884	3.00585	45.41898	0	47.51752	2.95413	0	0.373165	0	0	0	0	19.65485	7.96117	0	25.21482	158.636032	0	0
sim_meta-11	0	40.086986	200.067539	0	0	2.99325	48.492066	0	17.468687	0	3.2166	0	6.79531	0	18.317416	0	30.397745	8.04546	0	0	0	3.91537	17.58132	0	36.5047	18.282656	0	56.116692	133.512968	0	0.770638
