sample	amglyccycl	arylpolyene	bacteriocin	butyrolactone	cyanobactin	ectoine	hserlactone	indole	ladderane	lantipeptide	lassopeptide	linaridin	melanin	microcin	microviridin	nrps	nucleoside	oligosaccharide	other	otherks	phenazine	phosphonate	proteusin	PUFA	resorcinol	siderophore	t1pks	t2pks	t3pks	terpene	thiopeptide	transatpks
sim_meta-1	1.76403	21.092577	93.386598	1.52519	0	7.96427	16.293713	1.90693	0	4.87617	5.39068	3.46956	0	0	5.45342	107.193507	0	0	31.91911	9.5138	0	1.1086	0	2.33678	4.53424	39.151943	24.875223	0	34.380517	117.0454798	0	0
sim_meta-10	0	16.673971	64.0365	1.21679	0	7.855865	19.9230763	0	5.19042	2.38852	0.378499	0	0	6.26196	1.60993	65.403241	0	0	19.64115	8.48071	0	2.85099	0	2.44058	5.11938	2.22631	27.60777	0	14.307366	74.829254	0	1.13878
sim_meta-100	0	29.822673	40.86954906	3.15834	0	5.686683	27.972031	0	4.16789	0.269743	5.35186	0	0	0	0	73.8935701	0	0	41.7938093	0	0	6.66439	0	0	1.35997	19.69388	13.619265	0	19.753193	111.880686	5.28836	0
sim_meta-101	0	41.26457	73.369643	0.961647	5.92101	24.594074	23.502152	8.93544	0	34.443067	3.4963	3.38343	3.7264	0	4.99909	127.988918	0	13.6745	85.051312	19.80427	2.59899	12.8383	0	5.27346	8.2384	50.694346	116.39344	13.59431	30.26805	135.816864	0	23.10718
sim_meta-102	0	100.8107412	47.380514	5.48986	1.68053	13.754048	14.960309	5.31555	10.39507	42.56442	8.447065	2.46679	0	0	0	95.2206556	11.71393	10.0851	46.20061	16.90455	0	1.37566	0	1.17867	37.09512	19.797216	78.138896	17.88394	48.286611	167.236855	14.18174	1.4823
sim_meta-103	0	21.028488	86.806922	0	0	14.292282	24.01693	5.26849	0	7.51798	8.97899	0	0	12.65084	11.0154	125.026879	0	0	43.12281	27.504	5.42107	15.5039	0	0	5.42107	34.485808	102.650134	0	28.420622	111.568314	0	5.34565
sim_meta-104	0	38.498058	54.10616	12.6264	0	9.498262	53.379174	0	5.33756	20.72152	2.148446	0	0	5.768736	0	103.355745	0	0	25.602146	14.430754	0	27.4602	0	13.75231	7.41706	19.07119	42.916617	0	10.34409	103.844559	0	0.702355
sim_meta-105	2.938	32.9812	86.8417928	2.84979	0	12.25126	5.12827	27.9561	8.52928	0	1.26219	0	0	0	0	100.48006	0	0	50.4984	28.37796	0	1.980594	0	0	0	10.22877	32.654442	0	21.40082	118.56302	0	0
sim_meta-106	0	49.13714	93.363551	0	0	12.167514	72.555675	0	6.92928	32.11651	29.035751	0	0	0	0	96.5403502	0	0	41.1381	34.65586	13.32	2.572607	6.26182	1.70966	11.8324	62.55193	47.47001	12.7728	30.242869	93.838682	15.08448	0
sim_meta-107	0	40.9427706	65.6793806	2.61744	0	5.21884	23.0627495	0	10.8756	9.708506	0	0	0	3.70176	1.74398	53.858636	0	0	16.26850657	12.90756	0	7.895782	0	4.17254	13.76216	31.44253	33.201378	0	11.40636	93.27157328	0	0
